instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,weekday_name,year_label,temp_c,hum_pct
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Spring,Berkabut,Minggu,2011,14.110847,80.58330000000001
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Spring,Berkabut,Senin,2011,14.902598000000001,69.6087
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Spring,Cerah/Berawan,Selasa,2011,8.050924,43.7273
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Spring,Cerah/Berawan,Rabu,2011,8.200000000000001,59.0435
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Spring,Cerah/Berawan,Kamis,2011,9.305237,43.695699999999995
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Spring,Cerah/Berawan,Jumat,2011,8.378268,51.8261
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Spring,Berkabut,Sabtu,2011,8.057402,49.8696
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,Spring,Berkabut,Minggu,2011,6.765000000000001,53.5833
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,Spring,Cerah/Berawan,Senin,2011,5.671653,43.416700000000006
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Spring,Cerah/Berawan,Selasa,2011,6.184153,48.2917
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Spring,Berkabut,Rabu,2011,6.9327309999999995,68.6364
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Spring,Cerah/Berawan,Kamis,2011,7.0818069999999995,59.954499999999996
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,Spring,Cerah/Berawan,Jumat,2011,6.765000000000001,47.0417
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Spring,Cerah/Berawan,Sabtu,2011,6.59567,53.7826
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Spring,Berkabut,Minggu,2011,9.566653,49.875
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,Spring,Cerah/Berawan,Senin,2011,9.498347,48.375
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,Spring,Berkabut,Selasa,2011,7.209153,53.75
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,Spring,Berkabut,Rabu,2011,8.883347,86.16669999999999
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Spring,Berkabut,Kamis,2011,11.979134,74.1739
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Spring,Berkabut,Jumat,2011,10.728347,53.833299999999994
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Spring,Cerah/Berawan,Sabtu,2011,7.2775,45.7083
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,Spring,Cerah/Berawan,Minggu,2011,2.4243464,40.0
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Spring,Cerah/Berawan,Senin,2011,3.9573897000000002,43.6522
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Spring,Cerah/Berawan,Selasa,2011,3.9930433,49.173899999999996
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Spring,Berkabut,Rabu,2011,9.162598000000001,61.695699999999995
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,Spring,Hujan Ringan/Salju,Kamis,2011,8.9175,86.25
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,Spring,Cerah/Berawan,Jumat,2011,7.995,68.75
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Spring,Berkabut,Sabtu,2011,8.342597999999999,79.30430000000001
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,Spring,Cerah/Berawan,Minggu,2011,8.057402,65.17389999999999
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Spring,Cerah/Berawan,Senin,2011,8.877402,72.2174
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Spring,Berkabut,Selasa,2011,7.414153,60.375
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Spring,Berkabut,Rabu,2011,7.8791340000000005,82.9565
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,Spring,Berkabut,Kamis,2011,10.66,77.5417
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Spring,Cerah/Berawan,Jumat,2011,7.665237,43.7826
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Spring,Berkabut,Sabtu,2011,8.663464,58.521699999999996
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,Spring,Berkabut,Minggu,2011,9.566653,92.91669999999999
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,Spring,Cerah/Berawan,Senin,2011,11.719153,56.833299999999994
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,Spring,Cerah/Berawan,Selasa,2011,11.138347,73.83330000000001
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,Spring,Cerah/Berawan,Rabu,2011,9.054153,53.7917
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,Spring,Berkabut,Kamis,2011,5.526102999999999,49.4783
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,Spring,Cerah/Berawan,Jumat,2011,5.918268,43.7391
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,Spring,Cerah/Berawan,Sabtu,2011,7.752731000000001,50.6364
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,Spring,Cerah/Berawan,Minggu,2011,9.1225,54.4167
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,Spring,Cerah/Berawan,Senin,2011,12.977402000000001,45.7391
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,Spring,Cerah/Berawan,Selasa,2011,17.015,37.583299999999994
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Spring,Cerah/Berawan,Rabu,2011,10.909567000000001,31.434800000000003
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Spring,Cerah/Berawan,Kamis,2011,13.048701000000001,42.3478
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,Spring,Cerah/Berawan,Jumat,2011,17.869153,50.5
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Spring,Cerah/Berawan,Sabtu,2011,21.388347,51.6667
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Spring,Cerah/Berawan,Minggu,2011,16.365847,18.7917
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Spring,Cerah/Berawan,Senin,2011,11.693897,40.7826
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,Spring,Berkabut,Selasa,2011,12.436653000000002,60.5
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Spring,Cerah/Berawan,Rabu,2011,7.471102,57.7778
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Spring,Cerah/Berawan,Kamis,2011,9.091299,42.3043
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Spring,Berkabut,Jumat,2011,12.121732000000002,69.7391
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Spring,Berkabut,Sabtu,2011,14.938268,71.2174
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Spring,Cerah/Berawan,Minggu,2011,11.5825,53.7917
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,Spring,Cerah/Berawan,Senin,2011,14.082598,68.0
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Spring,Berkabut,Selasa,2011,16.698193,87.63640000000001
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,Spring,Cerah/Berawan,Rabu,2011,10.933347,53.5
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,Spring,Cerah/Berawan,Kamis,2011,13.735000000000001,44.9583
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Spring,Cerah/Berawan,Jumat,2011,8.131653,31.833299999999998
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Spring,Berkabut,Sabtu,2011,10.728347,61.0417
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Spring,Berkabut,Minggu,2011,15.750846999999998,78.91669999999999
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,Spring,Berkabut,Senin,2011,15.437402,94.8261
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Spring,Cerah/Berawan,Selasa,2011,10.731299,55.1304
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Spring,Cerah/Berawan,Rabu,2011,11.9925,42.0833
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Spring,Berkabut,Kamis,2011,12.129153,77.5417
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,Spring,Hujan Ringan/Salju,Jumat,2011,15.952731,0.0
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,Spring,Berkabut,Sabtu,2011,12.977402000000001,64.95649999999999
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Spring,Cerah/Berawan,Minggu,2011,13.495847,59.458299999999994
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Spring,Cerah/Berawan,Senin,2011,15.758268000000001,52.73910000000001
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,Spring,Cerah/Berawan,Selasa,2011,13.333896999999999,49.695699999999995
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Spring,Berkabut,Rabu,2011,13.013031,65.5652
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Spring,Berkabut,Kamis,2011,14.973897000000001,77.65220000000001
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,Spring,Cerah/Berawan,Jumat,2011,17.015,60.291700000000006
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,Spring,Cerah/Berawan,Sabtu,2011,22.14,52.5217
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Spring,Cerah/Berawan,Minggu,2011,19.3725,37.9167
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Spring,Cerah/Berawan,Senin,2011,13.6325,47.375
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Summer,Berkabut,Selasa,2011,17.647835,73.73910000000001
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Summer,Cerah/Berawan,Rabu,2011,18.108347,62.4583
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Summer,Berkabut,Kamis,2011,14.225237,83.9565
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,Summer,Berkabut,Jumat,2011,11.684999999999999,80.58330000000001
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,Summer,Cerah/Berawan,Sabtu,2011,10.830846999999999,49.5
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Summer,Cerah/Berawan,Minggu,2011,10.899153,39.4167
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Summer,Berkabut,Senin,2011,10.374763000000002,49.3913
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Summer,Cerah/Berawan,Selasa,2011,10.838268000000001,30.2174
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Summer,Cerah/Berawan,Rabu,2011,12.4025,31.4167
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,Summer,Berkabut,Kamis,2011,12.299999999999999,64.6667
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Summer,Hujan Ringan/Salju,Jumat,2011,11.001653,91.8333
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,Summer,Berkabut,Sabtu,2011,12.299999999999999,68.625
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,Summer,Berkabut,Minggu,2011,12.915000000000001,65.375
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Summer,Cerah/Berawan,Senin,2011,15.511652999999999,48.0
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,Summer,Cerah/Berawan,Selasa,2011,23.506653,42.625
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,Summer,Berkabut,Rabu,2011,16.980847,64.2083
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Summer,Cerah/Berawan,Kamis,2011,16.024153,47.0833
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Summer,Cerah/Berawan,Jumat,2011,17.9375,60.291700000000006
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Summer,Berkabut,Sabtu,2011,13.769153,83.625
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Summer,Berkabut,Minggu,2011,14.0425,87.75
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Summer,Berkabut,Senin,2011,17.493347,85.75
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Summer,Berkabut,Selasa,2011,24.421732,71.6956
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Summer,Berkabut,Rabu,2011,20.6025,73.9167
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Summer,Berkabut,Kamis,2011,16.912499999999998,81.91669999999999
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Summer,Cerah/Berawan,Jumat,2011,19.1675,54.041700000000006
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Summer,Cerah/Berawan,Sabtu,2011,18.313347,67.125
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,Summer,Hujan Ringan/Salju,Minggu,2011,17.664153000000002,88.83330000000001
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Summer,Cerah/Berawan,Senin,2011,18.723347,47.9583
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Summer,Cerah/Berawan,Selasa,2011,21.0125,54.25
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Summer,Berkabut,Rabu,2011,20.739152999999998,66.5833
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,Summer,Cerah/Berawan,Kamis,2011,24.395,61.4167
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Summer,Cerah/Berawan,Jumat,2011,18.825847,40.708299999999994
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Summer,Berkabut,Sabtu,2011,13.803347,72.9583
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Summer,Berkabut,Minggu,2011,18.86,88.79169999999999
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Summer,Berkabut,Senin,2011,23.848347,81.08330000000001
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Summer,Cerah/Berawan,Selasa,2011,24.873347,77.6667
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Summer,Cerah/Berawan,Rabu,2011,25.898346999999998,72.9167
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,Summer,Berkabut,Kamis,2011,25.419999999999998,83.54169999999999
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Summer,Berkabut,Jumat,2011,25.317500000000003,70.08330000000001
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,Summer,Cerah/Berawan,Sabtu,2011,20.91,45.7083
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Summer,Cerah/Berawan,Minggu,2011,19.3725,50.3333
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Summer,Berkabut,Senin,2011,18.518347,76.2083
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,Summer,Berkabut,Selasa,2011,22.515846999999997,73.0
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Summer,Berkabut,Rabu,2011,25.283347,69.7083
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Summer,Berkabut,Kamis,2011,16.980847,73.70830000000001
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Summer,Cerah/Berawan,Jumat,2011,18.825847,44.4167
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,Summer,Cerah/Berawan,Sabtu,2011,19.645847,59.0
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Summer,Cerah/Berawan,Minggu,2011,21.32,54.125
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Summer,Cerah/Berawan,Senin,2011,21.661653,63.1667
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,Summer,Cerah/Berawan,Selasa,2011,21.8325,58.875
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Summer,Cerah/Berawan,Rabu,2011,21.8325,48.9167
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,Summer,Cerah/Berawan,Kamis,2011,22.2425,63.29169999999999
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,Summer,Cerah/Berawan,Jumat,2011,21.935000000000002,74.75
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,Summer,Berkabut,Sabtu,2011,21.0125,86.33330000000001
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,Summer,Berkabut,Minggu,2011,21.354153,92.25
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,Summer,Berkabut,Senin,2011,23.0625,86.70830000000001
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,Summer,Cerah/Berawan,Selasa,2011,23.677500000000002,78.79169999999999
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,Summer,Berkabut,Rabu,2011,23.028347,83.7917
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,Summer,Berkabut,Kamis,2011,22.55,87.0
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,Summer,Berkabut,Jumat,2011,21.764153,82.9583
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,Summer,Cerah/Berawan,Sabtu,2011,22.003347,71.9583
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,Summer,Cerah/Berawan,Minggu,2011,24.7025,62.6667
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,Summer,Cerah/Berawan,Senin,2011,24.770847,74.9583
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,Summer,Berkabut,Selasa,2011,25.898346999999998,81.0
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,Summer,Berkabut,Rabu,2011,27.060000000000002,74.0833
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Summer,Cerah/Berawan,Kamis,2011,27.094153,69.625
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Summer,Cerah/Berawan,Jumat,2011,29.041653,67.75
