instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,weekday_name,year_label,temp_c,hum_pct
147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Summer,Cerah/Berawan,Sabtu,2011,27.948347000000002,65.375
148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Summer,Cerah/Berawan,Minggu,2011,26.889153,72.9583
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,Summer,Cerah/Berawan,Senin,2011,27.3675,81.875
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Summer,Cerah/Berawan,Selasa,2011,30.066653000000002,68.5
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,Summer,Cerah/Berawan,Rabu,2011,31.775000000000002,63.6667
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Summer,Berkabut,Kamis,2011,31.330847000000002,67.7083
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,Summer,Cerah/Berawan,Jumat,2011,29.314999999999998,30.5
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,Summer,Cerah/Berawan,Sabtu,2011,25.419999999999998,35.4167
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,Summer,Cerah/Berawan,Minggu,2011,26.035,45.625
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,Summer,Berkabut,Senin,2011,26.581653000000003,65.25
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,Summer,Cerah/Berawan,Selasa,2011,27.811653,60.0
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,Summer,Cerah/Berawan,Rabu,2011,29.0075,59.791700000000006
159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,Summer,Cerah/Berawan,Kamis,2011,31.809153,62.20830000000001
160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,Summer,Berkabut,Jumat,2011,33.141653,56.833299999999994
161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,Summer,Cerah/Berawan,Sabtu,2011,30.955000000000002,60.5
162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,Summer,Cerah/Berawan,Minggu,2011,29.724999999999998,65.45830000000001
163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,Summer,Cerah/Berawan,Senin,2011,28.392500000000002,74.7917
164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,Summer,Cerah/Berawan,Selasa,2011,26.035,49.4583
165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,Summer,Cerah/Berawan,Rabu,2011,24.770847,50.708299999999994
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,Summer,Cerah/Berawan,Kamis,2011,25.693347,47.1667
167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,Summer,Berkabut,Jumat,2011,25.761653000000003,68.8333
168,2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,Summer,Cerah/Berawan,Sabtu,2011,26.615847000000002,73.5833
169,2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,Summer,Cerah/Berawan,Minggu,2011,28.563347,67.0417
170,2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,Summer,Berkabut,Senin,2011,28.665847,66.6667
171,2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,Summer,Berkabut,Selasa,2011,26.035,74.625
172,2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,Fall,Berkabut,Rabu,2011,27.914153000000002,77.0417
173,2011-06-22,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,Fall,Cerah/Berawan,Kamis,2011,30.066653000000002,70.75
174,2011-06-23,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,Fall,Berkabut,Jumat,2011,29.861653,70.3333
175,2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Fall,Cerah/Berawan,Sabtu,2011,29.690847,57.3333
176,2011-06-25,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Fall,Cerah/Berawan,Minggu,2011,28.494999999999997,48.3333
177,2011-06-26,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Fall,Cerah/Berawan,Senin,2011,27.880000000000003,51.3333
178,2011-06-27,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Fall,Berkabut,Selasa,2011,27.982499999999998,65.8333
179,2011-06-28,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Fall,Cerah/Berawan,Rabu,2011,30.510847000000002,63.416700000000006
180,2011-06-29,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Fall,Cerah/Berawan,Kamis,2011,29.861653,49.7917
181,2011-06-30,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,Fall,Cerah/Berawan,Jumat,2011,28.563347,43.416700000000006
182,2011-07-01,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,Fall,Cerah/Berawan,Sabtu,2011,29.622500000000002,39.625
183,2011-07-02,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,Fall,Cerah/Berawan,Minggu,2011,30.271653,44.4583
184,2011-07-03,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,Fall,Berkabut,Senin,2011,29.383347,68.25
185,2011-07-04,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,Fall,Berkabut,Selasa,2011,29.793346999999997,63.7917
186,2011-07-05,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,Fall,Cerah/Berawan,Rabu,2011,30.613346999999997,59.0417
187,2011-07-06,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,Fall,Cerah/Berawan,Kamis,2011,29.52,74.33330000000001
188,2011-07-07,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,Fall,Cerah/Berawan,Jumat,2011,30.75,65.125
189,2011-07-08,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040,Fall,Berkabut,Sabtu,2011,29.075847,75.79169999999999
190,2011-07-09,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,Fall,Cerah/Berawan,Minggu,2011,30.066653000000002,60.9167
191,2011-07-10,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,Fall,Cerah/Berawan,Senin,2011,30.6475,57.8333
192,2011-07-11,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,Fall,Cerah/Berawan,Selasa,2011,31.2625,63.5833
193,2011-07-12,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,Fall,Cerah/Berawan,Rabu,2011,32.560846999999995,55.9167
194,2011-07-13,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342,Fall,Cerah/Berawan,Kamis,2011,30.613346999999997,63.1667
195,2011-07-14,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084,Fall,Cerah/Berawan,Jumat,2011,27.914153000000002,47.625
196,2011-07-15,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,Fall,Cerah/Berawan,Sabtu,2011,27.196652999999998,59.12500000000001
197,2011-07-16,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923,Fall,Cerah/Berawan,Minggu,2011,28.153347,58.5
198,2011-07-17,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,Fall,Cerah/Berawan,Senin,2011,29.485847,60.4167
199,2011-07-18,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,Fall,Cerah/Berawan,Selasa,2011,30.613346999999997,65.125
200,2011-07-19,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541,Fall,Cerah/Berawan,Rabu,2011,31.843347,65.0417
201,2011-07-20,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,Fall,Cerah/Berawan,Kamis,2011,31.501653,70.70830000000001
202,2011-07-21,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,Fall,Berkabut,Jumat,2011,33.415,69.125
203,2011-07-22,3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387,Fall,Cerah/Berawan,Sabtu,2011,34.781653,58.0417
204,2011-07-23,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285,Fall,Cerah/Berawan,Minggu,2011,34.815847,50.0
205,2011-07-24,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606,Fall,Cerah/Berawan,Senin,2011,34.03,55.0833
206,2011-07-25,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,Fall,Cerah/Berawan,Selasa,2011,30.476653000000002,75.7083
207,2011-07-26,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590,Fall,Cerah/Berawan,Rabu,2011,31.638347,54.0833
208,2011-07-27,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656,Fall,Cerah/Berawan,Kamis,2011,31.775000000000002,40.291700000000006
209,2011-07-28,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,Fall,Cerah/Berawan,Jumat,2011,31.945847,58.3333
210,2011-07-29,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176,3846,Fall,Cerah/Berawan,Sabtu,2011,34.371653,54.25
211,2011-07-30,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,Fall,Cerah/Berawan,Minggu,2011,32.970847,46.5833
212,2011-07-31,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,Fall,Cerah/Berawan,Senin,2011,33.039153,48.0833
213,2011-08-01,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266,Fall,Cerah/Berawan,Selasa,2011,31.638347,55.0833
214,2011-08-02,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,Fall,Cerah/Berawan,Rabu,2011,32.116653,49.125
215,2011-08-03,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107,3574,Fall,Berkabut,Kamis,2011,29.998347,65.75
216,2011-08-04,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576,Fall,Berkabut,Jumat,2011,29.11,75.75
217,2011-08-05,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,Fall,Cerah/Berawan,Sabtu,2011,29.144153000000003,63.083299999999994
218,2011-08-06,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294,Fall,Berkabut,Minggu,2011,29.383347,75.5
219,2011-08-07,3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,Fall,Cerah/Berawan,Senin,2011,30.442500000000003,75.29169999999999
220,2011-08-08,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326,Fall,Cerah/Berawan,Selasa,2011,31.365000000000002,59.2083
221,2011-08-09,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602,Fall,Cerah/Berawan,Rabu,2011,31.775000000000002,57.04169999999999
222,2011-08-10,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780,Fall,Cerah/Berawan,Kamis,2011,31.433346999999998,42.4167
223,2011-08-11,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792,Fall,Cerah/Berawan,Jumat,2011,29.4175,42.375
224,2011-08-12,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905,Fall,Cerah/Berawan,Sabtu,2011,29.041653,41.5
225,2011-08-13,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,Fall,Berkabut,Minggu,2011,28.119153,72.9583
226,2011-08-14,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,Fall,Berkabut,Senin,2011,27.743347,81.75
227,2011-08-15,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338,Fall,Cerah/Berawan,Selasa,2011,27.299153,71.20830000000001
228,2011-08-16,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,4004,4725,Fall,Cerah/Berawan,Rabu,2011,28.734153000000003,57.8333
229,2011-08-17,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026,4694,Fall,Cerah/Berawan,Kamis,2011,29.656653,57.5417
230,2011-08-18,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805,Fall,Cerah/Berawan,Jumat,2011,29.178347000000002,65.45830000000001
231,2011-08-19,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153,Fall,Berkabut,Sabtu,2011,28.085,72.2917
232,2011-08-20,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,Fall,Cerah/Berawan,Minggu,2011,28.5975,67.41669999999999
233,2011-08-21,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873,Fall,Cerah/Berawan,Senin,2011,29.144153000000003,77.0
234,2011-08-22,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758,Fall,Cerah/Berawan,Selasa,2011,28.358347000000002,47.0
235,2011-08-23,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,Fall,Cerah/Berawan,Rabu,2011,26.274153,45.5417
236,2011-08-24,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949,4181,5130,Fall,Cerah/Berawan,Kamis,2011,27.606652999999998,60.5
237,2011-08-25,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542,Fall,Berkabut,Jumat,2011,28.050846999999997,77.1667
238,2011-08-26,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3893,4661,Fall,Cerah/Berawan,Sabtu,2011,28.7,76.125
239,2011-08-27,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226,889,1115,Fall,Berkabut,Minggu,2011,27.880000000000003,85.0
240,2011-08-28,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,Fall,Cerah/Berawan,Senin,2011,28.989418999999998,56.1765
241,2011-08-29,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3905,4634,Fall,Cerah/Berawan,Selasa,2011,26.103347,55.45830000000001
242,2011-08-30,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429,5204,Fall,Cerah/Berawan,Rabu,2011,26.205847000000002,54.833299999999994
243,2011-08-31,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,Fall,Cerah/Berawan,Kamis,2011,26.923347,59.791700000000006
244,2011-09-01,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,4332,5115,Fall,Cerah/Berawan,Jumat,2011,26.855,63.916700000000006
245,2011-09-02,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727,Fall,Berkabut,Sabtu,2011,26.376653,72.70830000000001
246,2011-09-03,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,Fall,Cerah/Berawan,Minggu,2011,27.435847,71.6667
247,2011-09-04,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,Fall,Cerah/Berawan,Senin,2011,29.075847,74.20830000000001
248,2011-09-05,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,Fall,Berkabut,Selasa,2011,27.606652999999998,79.0417
249,2011-09-06,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204,2506,2710,Fall,Hujan Ringan/Salju,Rabu,2011,22.14,88.6957
250,2011-09-07,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118,1878,1996,Fall,Hujan Ringan/Salju,Kamis,2011,24.565847,91.7083
251,2011-09-08,3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153,1689,1842,Fall,Hujan Ringan/Salju,Jumat,2011,25.990433,93.9565
252,2011-09-09,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,417,3127,3544,Fall,Berkabut,Sabtu,2011,26.650000000000002,89.79169999999999
253,2011-09-10,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,3595,5345,Fall,Cerah/Berawan,Minggu,2011,27.060000000000002,75.375
254,2011-09-11,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633,3413,5046,Fall,Cerah/Berawan,Senin,2011,26.786653,71.375
255,2011-09-12,3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690,4023,4713,Fall,Cerah/Berawan,Selasa,2011,26.418268,69.2174
256,2011-09-13,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701,4062,4763,Fall,Cerah/Berawan,Rabu,2011,26.684153,71.25
257,2011-09-14,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785,Fall,Cerah/Berawan,Kamis,2011,27.606652999999998,69.7083
258,2011-09-15,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428,3231,3659,Fall,Berkabut,Jumat,2011,23.677500000000002,70.9167
259,2011-09-16,3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760,Fall,Berkabut,Sabtu,2011,19.235847,59.0417
260,2011-09-17,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,Fall,Berkabut,Minggu,2011,20.158347,71.8333
261,2011-09-18,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353,2921,4274,Fall,Cerah/Berawan,Senin,2011,20.807499999999997,69.5
262,2011-09-19,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,3848,4539,Fall,Berkabut,Selasa,2011,22.515846999999997,69.0
263,2011-09-20,3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438,3203,3641,Fall,Berkabut,Rabu,2011,23.028347,88.125
264,2011-09-21,3,0,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,539,3813,4352,Fall,Berkabut,Kamis,2011,24.395,90.0
265,2011-09-22,3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555,4240,4795,Fall,Berkabut,Jumat,2011,25.761653000000003,90.2083
266,2011-09-23,4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258,2137,2395,Winter,Berkabut,Sabtu,2011,24.975847,97.25
267,2011-09-24,4,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423,Winter,Berkabut,Minggu,2011,24.873347,86.25
268,2011-09-25,4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544,3466,5010,Winter,Berkabut,Senin,2011,26.000847,84.5
269,2011-09-26,4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684,3946,4630,Winter,Berkabut,Selasa,2011,26.615847000000002,84.8333
270,2011-09-27,4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477,3643,4120,Winter,Berkabut,Rabu,2011,26.103347,88.5417
271,2011-09-28,4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,480,3427,3907,Winter,Berkabut,Kamis,2011,26.035,84.875
272,2011-09-29,4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653,4186,4839,Winter,Cerah/Berawan,Jumat,2011,25.283347,69.91669999999999
273,2011-09-30,4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830,4372,5202,Winter,Cerah/Berawan,Sabtu,2011,23.130847,64.75
274,2011-10-01,4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,480,1949,2429,Winter,Berkabut,Minggu,2011,16.81,75.375
275,2011-10-02,4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616,2302,2918,Winter,Berkabut,Senin,2011,14.623347,79.1667
276,2011-10-03,4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330,3240,3570,Winter,Berkabut,Selasa,2011,15.750846999999998,76.0833
277,2011-10-04,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,486,3970,4456,Winter,Cerah/Berawan,Rabu,2011,19.850847,71.0
278,2011-10-05,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559,4267,4826,Winter,Cerah/Berawan,Kamis,2011,22.071652999999998,64.79169999999999
279,2011-10-06,4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639,4126,4765,Winter,Cerah/Berawan,Jumat,2011,20.260847000000002,62.083299999999994
280,2011-10-07,4,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949,4036,4985,Winter,Cerah/Berawan,Sabtu,2011,20.944153,68.41669999999999
281,2011-10-08,4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409,Winter,Cerah/Berawan,Minggu,2011,21.388347,70.125
282,2011-10-09,4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397,3114,5511,Winter,Cerah/Berawan,Senin,2011,22.174153,72.75
283,2011-10-10,4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514,3603,5117,Winter,Cerah/Berawan,Selasa,2011,23.404153,73.375
284,2011-10-11,4,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667,3896,4563,Winter,Berkabut,Rabu,2011,23.233347000000002,80.875
285,2011-10-12,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217,2199,2416,Winter,Hujan Ringan/Salju,Kamis,2011,22.276653,90.625
286,2011-10-13,4,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290,2623,2913,Winter,Berkabut,Jumat,2011,24.155847,89.6667
287,2011-10-14,4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529,3115,3644,Winter,Berkabut,Sabtu,2011,22.584153,71.625
288,2011-10-15,4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899,3318,5217,Winter,Cerah/Berawan,Minggu,2011,20.773346999999998,48.3333
289,2011-10-16,4,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748,3293,5041,Winter,Cerah/Berawan,Senin,2011,20.978347,48.6667
290,2011-10-17,4,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,713,3857,4570,Winter,Cerah/Berawan,Selasa,2011,21.900847,57.958299999999994
291,2011-10-18,4,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637,4111,4748,Winter,Berkabut,Rabu,2011,21.8325,70.1667
292,2011-10-19,4,0,10,0,3,1,3,0.541739,0.513848,0.895217,0.243339,254,2170,2424,Winter,Hujan Ringan/Salju,Kamis,2011,22.211299,89.52170000000001
293,2011-10-20,4,0,10,0,4,1,1,0.475833,0.466525,0.63625,0.422275,471,3724,4195,Winter,Cerah/Berawan,Jumat,2011,19.509153,63.625
